Marital_status,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
Lajang,Siang,120.0,121.4,Tidak,Tidak,Tidak,Perempuan,Tidak,20,6,7,4,13.0,6,7,5,13.8,Droupout
Lajang,Malam,133.1,109.7,Tidak,Tidak,Ya,Perempuan,Tidak,29,5,0,0,0.0,5,0,0,0.0,Droupout
Lajang,Malam,154.0,134.1,Tidak,Tidak,Ya,Perempuan,Tidak,24,5,9,2,11.5,5,11,3,14.333333333333334,Enrolled
Lajang,Siang,130.0,127.6,Ya,Tidak,Ya,Perempuan,Tidak,18,6,6,6,11.666666666666666,6,8,5,13.2,Graduate
Lajang,Siang,132.0,132.4,Ya,Tidak,Ya,Perempuan,Ya,22,7,8,6,13.516666666666666,8,9,7,13.771428571428572,Graduate
Lajang,Malam,130.0,133.4,Tidak,Tidak,Ya,Perempuan,Ya,21,6,6,6,11.5,6,7,6,13.285714285714286,Graduate
Lajang,Siang,139.0,126.1,Tidak,Tidak,Ya,Perempuan,Ya,19,6,7,5,12.333333333333334,6,7,6,12.833333333333334,Graduate
Lajang,Siang,130.0,113.5,Tidak,Tidak,Ya,Perempuan,Ya,24,6,6,6,13.666666666666666,6,6,6,14.166666666666666,Graduate
Lajang,Siang,139.0,121.3,Ya,Tidak,Ya,Perempuan,Ya,19,8,10,6,11.833333333333334,8,10,6,11.833333333333334,Enrolled
Lajang,Siang,127.0,121.8,Ya,Tidak,Ya,Perempuan,Ya,20,6,11,4,14.0,6,12,3,11.0,Enrolled
Lajang,Siang,167.0,159.3,Tidak,Tidak,Ya,Perempuan,Tidak,19,5,7,5,14.714285714285714,5,5,5,15.8,Graduate
Lajang,Malam,130.0,120.0,Tidak,Tidak,Ya,Perempuan,Tidak,27,5,12,5,10.6,5,10,5,11.0,Droupout
Lajang,Siang,130.0,129.1,Ya,Tidak,Ya,Perempuan,Tidak,18,7,9,7,13.044444444444444,8,10,8,13.595,Graduate
Menikah,Siang,130.0,130.0,Tidak,Tidak,Ya,Perempuan,Tidak,39,6,10,0,0.0,6,6,0,0.0,Droupout
Lajang,Siang,129.0,155.3,Ya,Tidak,Ya,Perempuan,Tidak,27,6,9,5,13.0,11,13,10,12.9,Droupout
Lajang,Siang,141.0,139.8,Ya,Tidak,Ya,Perempuan,Tidak,18,8,8,8,14.935,8,8,8,14.935,Graduate
Lajang,Siang,125.0,115.2,Ya,Tidak,Ya,Perempuan,Tidak,18,0,0,0,0.0,0,0,0,0.0,Enrolled
Lajang,Siang,125.0,114.9,Tidak,Tidak,Ya,Perempuan,Tidak,18,7,8,6,13.133333333333333,8,12,7,12.221428571428572,Graduate
Lajang,Siang,130.0,131.9,Tidak,Tidak,Ya,Perempuan,Ya,21,6,7,6,12.0,6,7,6,12.0,Graduate
Lajang,Siang,133.0,126.0,Ya,Tidak,Ya,Laki-Laki,Ya,19,0,0,0,0.0,0,0,0,0.0,Enrolled
Lajang,Siang,127.0,130.2,Ya,Tidak,Ya,Laki-Laki,Tidak,19,6,6,5,11.4,6,8,1,10.0,Enrolled
Lajang,Siang,116.0,120.9,Tidak,Tidak,Ya,Laki-Laki,Tidak,24,6,6,0,0.0,6,6,0,0.0,Enrolled
Bercerai,Siang,133.1,126.0,Ya,Tidak,Ya,Laki-Laki,Tidak,29,7,10,5,11.9,8,10,5,11.0,Droupout
Lajang,Siang,139.0,128.2,Ya,Tidak,Ya,Laki-Laki,Ya,19,0,0,0,0.0,0,0,0,0.0,Graduate
Lajang,Siang,130.0,130.0,Ya,Tidak,Ya,Laki-Laki,Tidak,23,6,8,6,12.571428571428571,6,7,6,12.428571428571429,Graduate
Lajang,Siang,125.0,120.1,Tidak,Ya,Ya,Laki-Laki,Tidak,19,5,8,5,11.2,5,10,4,10.75,Droupout
Lajang,Siang,160.0,100.0,Tidak,Tidak,Ya,Laki-Laki,Tidak,26,6,7,6,12.0,6,8,5,10.8,Enrolled
Lajang,Siang,148.0,134.0,Tidak,Tidak,Ya,Laki-Laki,Tidak,18,5,9,0,0.0,5,5,0,0.0,Enrolled
Lajang,Siang,150.0,130.8,Tidak,Tidak,Ya,Laki-Laki,Tidak,24,7,8,7,11.975,8,8,8,13.75,Graduate
Lajang,Siang,141.0,135.8,Ya,Tidak,Ya,Laki-Laki,Tidak,19,0,0,0,0.0,0,0,0,0.0,Droupout
Lajang,Siang,118.0,111.7,Ya,Tidak,Ya,Laki-Laki,Tidak,18,6,12,3,11.666666666666666,6,12,1,12.0,Droupout
Lajang,Siang,142.0,132.9,Ya,Tidak,Ya,Laki-Laki,Tidak,18,6,8,6,12.333333333333334,6,11,3,12.333333333333334,Graduate
Lajang,Siang,120.0,115.5,Ya,Ya,Ya,Laki-Laki,Tidak,18,5,8,3,10.333333333333334,5,11,3,10.857142857142858,Droupout
Lajang,Siang,106.0,106.0,Ya,Tidak,Ya,Laki-Laki,Ya,21,6,8,4,10.5,6,11,1,11.0,Droupout
Lajang,Siang,121.0,120.3,Ya,Ya,Ya,Laki-Laki,Ya,19,6,6,6,13.666666666666666,6,6,6,13.333333333333334,Graduate
Lajang,Siang,150.0,130.8,Tidak,Tidak,Ya,Laki-Laki,Ya,22,7,7,7,14.842857142857142,8,9,8,15.055555555555555,Graduate
Menikah,Malam,120.0,117.0,Tidak,Tidak,Ya,Laki-Laki,Tidak,33,6,8,6,12.0,6,6,6,11.666666666666666,Graduate
Lajang,Siang,114.0,110.2,Ya,Tidak,Ya,Laki-Laki,Tidak,20,6,8,5,12.2,6,7,5,12.2,Droupout
Lajang,Malam,140.0,155.7,Ya,Tidak,Ya,Laki-Laki,Tidak,35,1,1,0,0.0,5,0,0,0.0,Droupout
Lajang,Siang,160.0,180.4,Tidak,Ya,Ya,Laki-Laki,Tidak,24,12,17,6,12.166666666666666,12,14,10,13.3,Droupout
Lajang,Siang,120.0,125.5,Tidak,Tidak,Ya,Laki-Laki,Tidak,18,5,6,5,12.0,5,8,3,11.333333333333334,Enrolled
Menikah,Malam,130.0,110.0,Ya,Tidak,Ya,Perempuan,Tidak,33,6,7,6,11.0,6,11,5,11.0,Graduate
Lajang,Siang,160.0,161.0,Ya,Tidak,Ya,Perempuan,Ya,22,8,8,7,13.08,8,8,7,13.08,Graduate
Lajang,Siang,120.0,100.0,Tidak,Tidak,Ya,Perempuan,Ya,25,5,7,4,10.5,5,7,5,11.6,Graduate
Lajang,Siang,124.0,117.6,Ya,Tidak,Ya,Laki-Laki,Tidak,20,6,9,6,10.666666666666666,6,6,5,11.2,Graduate
Lajang,Siang,143.0,128.7,Ya,Tidak,Ya,Laki-Laki,Tidak,23,5,6,4,14.0,5,5,5,13.8,Enrolled
Lajang,Siang,115.0,112.2,Ya,Ya,Ya,Laki-Laki,Tidak,18,5,9,2,10.0,5,9,0,0.0,Enrolled
Lajang,Siang,133.1,100.8,Tidak,Tidak,Ya,Laki-Laki,Tidak,24,7,18,0,0.0,7,7,0,0.0,Droupout
Lajang,Siang,133.1,105.0,Ya,Tidak,Tidak,Perempuan,Tidak,21,6,6,6,14.0,6,6,6,13.5,Graduate
Lajang,Siang,133.1,100.0,Tidak,Tidak,Ya,Perempuan,Tidak,26,6,7,2,12.0,6,6,0,0.0,Droupout
Menikah,Siang,133.1,115.5,Tidak,Tidak,Ya,Perempuan,Tidak,39,6,12,3,12.666666666666666,6,14,0,0.0,Droupout
Menikah,Malam,133.1,114.0,Tidak,Tidak,Ya,Perempuan,Tidak,44,8,11,8,11.875,6,7,6,12.333333333333334,Graduate
Lajang,Siang,130.0,137.0,Ya,Tidak,Ya,Laki-Laki,Tidak,19,5,9,5,14.0,5,11,3,13.25,Enrolled
Lajang,Siang,135.0,124.9,Ya,Tidak,Ya,Perempuan,Tidak,18,6,6,6,13.666666666666666,6,6,6,13.333333333333334,Graduate
Lajang,Siang,132.0,120.3,Ya,Tidak,Ya,Perempuan,Ya,18,7,7,7,13.75,8,9,8,14.47777777777778,Graduate
Lajang,Siang,135.0,134.3,Ya,Tidak,Ya,Perempuan,Tidak,19,5,7,5,14.2,5,7,5,13.8,Enrolled
Lajang,Siang,115.0,111.5,Ya,Ya,Tidak,Perempuan,Tidak,19,7,10,4,11.96,7,7,0,0.0,Droupout
Lajang,Siang,130.0,128.8,Tidak,Tidak,Ya,Perempuan,Tidak,21,10,12,8,12.875,9,14,5,13.4,Droupout
Lajang,Siang,133.1,110.0,Ya,Tidak,Ya,Perempuan,Tidak,20,0,0,0,0.0,0,0,0,0.0,Graduate
Menikah,Malam,130.0,113.5,Ya,Tidak,Ya,Perempuan,Tidak,36,6,0,0,0.0,6,0,0,0.0,Droupout
Bercerai,Siang,133.1,160.0,Tidak,Tidak,Ya,Perempuan,Tidak,43,18,19,18,14.63157894736842,13,14,13,14.23076923076923,Graduate
Lajang,Siang,123.0,117.4,Ya,Tidak,Ya,Perempuan,Tidak,19,6,0,0,0.0,6,0,0,0.0,Droupout
Lajang,Siang,130.0,122.2,Tidak,Ya,Ya,Perempuan,Tidak,20,10,12,10,13.0,11,11,11,12.272727272727272,Graduate
Lajang,Siang,122.0,118.2,Ya,Tidak,Ya,Perempuan,Tidak,19,6,0,0,0.0,6,0,0,0.0,Droupout
Lajang,Siang,113.0,106.7,Ya,Tidak,Ya,Perempuan,Tidak,20,6,15,4,14.2,6,17,4,13.25,Droupout
Lajang,Siang,111.0,108.2,Ya,Tidak,Ya,Perempuan,Tidak,20,7,9,6,13.266666666666666,7,10,5,12.3,Droupout
Lajang,Siang,133.1,107.0,Ya,Tidak,Ya,Perempuan,Tidak,20,7,12,6,11.666666666666666,7,10,3,13.0,Enrolled
Lajang,Siang,142.0,136.1,Ya,Tidak,Ya,Perempuan,Tidak,18,6,8,6,13.857142857142858,6,6,6,15.0,Graduate
Lajang,Siang,123.0,115.3,Ya,Tidak,Ya,Perempuan,Ya,18,5,9,3,13.0,5,11,3,11.0,Enrolled
Lajang,Siang,131.0,139.8,Ya,Tidak,Ya,Perempuan,Tidak,19,5,6,5,13.4,5,5,5,12.8,Graduate
Lajang,Siang,158.0,157.0,Ya,Tidak,Ya,Perempuan,Tidak,18,6,6,6,12.666666666666666,6,7,6,12.571428571428571,Graduate
Lajang,Siang,122.0,131.0,Ya,Tidak,Ya,Perempuan,Tidak,18,7,7,6,12.516666666666666,7,7,6,12.516666666666666,Droupout
Lajang,Siang,130.0,100.0,Tidak,Tidak,Ya,Perempuan,Tidak,20,7,11,6,11.616666666666667,7,7,7,13.0,Enrolled
Lajang,Siang,154.0,140.4,Ya,Tidak,Ya,Perempuan,Ya,20,6,13,2,10.0,6,12,4,10.75,Enrolled
Lajang,Siang,120.0,113.4,Tidak,Tidak,Ya,Perempuan,Tidak,20,5,11,3,10.333333333333334,5,10,3,10.666666666666666,Enrolled
Lajang,Siang,140.0,137.0,Tidak,Tidak,Ya,Perempuan,Tidak,18,5,12,5,13.142857142857142,5,6,5,11.4,Graduate
Lajang,Siang,127.0,121.8,Tidak,Tidak,Ya,Perempuan,Tidak,18,5,5,5,12.6,5,5,5,14.0,Graduate
Lajang,Siang,133.1,131.0,Ya,Tidak,Ya,Perempuan,Tidak,21,6,12,3,11.0,6,12,2,11.0,Droupout
Lajang,Siang,120.0,118.6,Ya,Tidak,Ya,Perempuan,Tidak,19,5,8,5,10.8,5,9,4,11.25,Graduate
Lajang,Siang,137.0,122.3,Tidak,Tidak,Ya,Perempuan,Tidak,19,0,0,0,0.0,0,0,0,0.0,Droupout
Lajang,Siang,131.0,127.9,Tidak,Tidak,Ya,Perempuan,Ya,19,5,5,5,12.8,5,5,5,14.2,Graduate
Lajang,Siang,130.0,121.3,Ya,Tidak,Ya,Perempuan,Tidak,19,6,15,6,14.166666666666666,6,13,6,12.2,Graduate
Lajang,Siang,122.0,117.1,Ya,Tidak,Ya,Perempuan,Tidak,19,7,12,5,12.1,7,0,0,0.0,Droupout
Lajang,Siang,160.0,160.0,Ya,Tidak,Ya,Perempuan,Tidak,20,6,7,6,14.166666666666666,6,17,5,13.77777777777778,Graduate
Lajang,Siang,146.0,145.3,Ya,Tidak,Ya,Perempuan,Ya,18,6,8,5,12.8,6,7,5,13.4,Enrolled
Lajang,Siang,131.0,122.6,Ya,Tidak,Ya,Perempuan,Tidak,18,6,7,6,13.0,6,6,6,13.666666666666666,Graduate
Lajang,Siang,132.0,128.0,Ya,Tidak,Ya,Perempuan,Tidak,19,7,7,7,13.467142857142855,8,9,8,15.011111111111113,Graduate
Lajang,Siang,138.0,124.9,Ya,Tidak,Ya,Perempuan,Ya,18,7,9,7,13.2375,8,9,7,13.742857142857144,Droupout
Lajang,Siang,130.0,123.7,Ya,Tidak,Ya,Perempuan,Tidak,18,6,6,6,12.333333333333334,6,6,6,13.0,Graduate
Lajang,Siang,126.0,120.1,Ya,Tidak,Ya,Perempuan,Tidak,19,5,7,5,12.4,5,5,5,14.6,Graduate
Lajang,Siang,148.0,131.7,Ya,Tidak,Ya,Perempuan,Tidak,19,7,8,5,14.0,7,7,0,0.0,Droupout
Lajang,Siang,130.0,133.2,Tidak,Tidak,Ya,Perempuan,Tidak,20,9,15,9,11.666666666666666,7,8,7,11.714285714285714,Graduate
Lajang,Siang,117.0,109.3,Tidak,Ya,Tidak,Perempuan,Ya,19,6,7,5,12.0,6,9,4,12.5,Droupout
Lajang,Siang,120.0,113.0,Ya,Tidak,Ya,Perempuan,Tidak,20,5,7,4,12.2,5,5,4,11.5,Graduate
Lajang,Siang,153.0,157.9,Tidak,Ya,Ya,Perempuan,Ya,18,6,6,6,14.833333333333334,6,6,6,14.833333333333334,Graduate
Lajang,Siang,117.0,112.1,Tidak,Tidak,Ya,Perempuan,Ya,20,7,9,5,13.188,8,9,7,12.892857142857142,Enrolled
Lajang,Siang,178.0,174.7,Tidak,Tidak,Ya,Perempuan,Tidak,18,7,8,7,17.125,8,8,8,17.5875,Graduate
Lajang,Siang,129.0,128.8,Ya,Tidak,Ya,Perempuan,Tidak,19,7,7,6,12.666666666666666,7,7,6,12.666666666666666,Graduate
Lajang,Siang,116.0,110.1,Ya,Tidak,Ya,Perempuan,Ya,19,6,8,6,12.666666666666666,6,10,5,12.0,Graduate
Lajang,Siang,99.0,99.7,Ya,Ya,Tidak,Perempuan,Tidak,22,5,8,0,0.0,5,7,0,0.0,Enrolled
Lajang,Siang,135.0,121.0,Ya,Tidak,Ya,Perempuan,Ya,19,6,7,6,11.333333333333334,6,6,6,11.5,Graduate
Lajang,Siang,141.0,131.7,Ya,Tidak,Ya,Perempuan,Ya,19,7,10,7,13.605,8,11,8,12.33125,Graduate
Lajang,Siang,132.0,119.1,Ya,Tidak,Ya,Perempuan,Ya,19,6,10,5,12.0,6,9,5,10.8,Graduate
Lajang,Siang,132.0,124.7,Ya,Tidak,Ya,Perempuan,Tidak,19,5,10,0,0.0,5,10,0,0.0,Droupout
Lajang,Siang,113.0,117.2,Ya,Tidak,Ya,Perempuan,Tidak,20,6,8,5,11.2,6,12,3,11.666666666666666,Droupout
Lajang,Siang,134.0,128.8,Tidak,Tidak,Ya,Perempuan,Tidak,18,5,10,5,13.375,5,9,5,14.166666666666666,Graduate
Lajang,Siang,136.0,131.5,Tidak,Tidak,Ya,Perempuan,Ya,20,7,8,6,13.863333333333337,8,9,7,14.178571428571429,Graduate
Lajang,Siang,136.0,121.7,Ya,Tidak,Ya,Perempuan,Tidak,18,0,0,0,0.0,0,0,0,0.0,Enrolled
Lajang,Siang,129.0,123.4,Tidak,Tidak,Ya,Perempuan,Tidak,19,5,6,5,12.4,5,6,5,13.4,Graduate
Lajang,Siang,138.0,124.7,Ya,Tidak,Ya,Perempuan,Tidak,18,6,11,3,12.333333333333334,6,10,5,10.833333333333334,Enrolled
Lajang,Siang,137.0,132.8,Ya,Tidak,Ya,Perempuan,Tidak,18,6,7,6,13.333333333333334,6,8,5,11.8,Graduate
Lajang,Siang,115.0,108.7,Ya,Tidak,Ya,Perempuan,Tidak,21,6,10,3,12.666666666666666,6,12,3,10.0,Droupout
Lajang,Siang,129.0,138.1,Tidak,Tidak,Ya,Perempuan,Tidak,19,6,8,6,12.0,6,10,4,11.5,Droupout
Lajang,Siang,131.0,126.5,Tidak,Tidak,Ya,Perempuan,Ya,18,5,5,5,10.6,5,5,5,11.8,Graduate
Lajang,Siang,133.0,127.4,Ya,Tidak,Ya,Perempuan,Ya,18,6,8,6,12.25,6,7,6,11.857142857142858,Graduate
Lajang,Siang,125.0,123.6,Ya,Tidak,Ya,Perempuan,Tidak,20,6,10,4,11.0,6,9,6,11.833333333333334,Graduate
Lajang,Malam,120.0,122.0,Tidak,Tidak,Ya,Perempuan,Ya,24,6,11,5,11.0,6,9,5,12.6,Graduate
Lajang,Siang,128.0,118.2,Tidak,Tidak,Ya,Perempuan,Tidak,19,6,6,6,13.166666666666666,6,9,6,13.0,Droupout
Lajang,Siang,127.0,123.9,Ya,Tidak,Ya,Perempuan,Ya,18,7,9,7,12.855555555555554,8,12,7,12.761111111111113,Graduate
Lajang,Siang,134.0,125.8,Ya,Tidak,Ya,Perempuan,Tidak,18,7,8,7,14.91875,8,8,8,15.355,Graduate
Lajang,Siang,132.0,123.3,Ya,Tidak,Ya,Perempuan,Tidak,21,6,13,4,11.5,6,10,3,11.0,Droupout
Lajang,Siang,124.0,124.4,Tidak,Tidak,Ya,Perempuan,Tidak,19,5,5,5,14.2,5,5,5,14.2,Graduate
Lajang,Siang,133.1,126.0,Tidak,Tidak,Ya,Perempuan,Ya,19,6,6,6,12.5,6,7,6,13.0,Graduate
Bercerai,Siang,170.0,170.0,Tidak,Ya,Ya,Perempuan,Tidak,47,1,1,0,0.0,6,0,0,0.0,Enrolled
Lajang,Siang,125.0,121.5,Tidak,Tidak,Ya,Perempuan,Tidak,19,6,10,5,11.666666666666666,6,12,4,11.0,Graduate
Lajang,Siang,130.0,130.0,Tidak,Tidak,Ya,Perempuan,Tidak,29,8,8,7,14.257142857142856,8,8,7,14.257142857142856,Graduate
Lajang,Siang,125.0,117.0,Ya,Tidak,Ya,Perempuan,Tidak,21,6,13,3,12.0,6,12,2,11.333333333333334,Droupout
Lajang,Siang,130.0,130.0,Ya,Tidak,Ya,Perempuan,Tidak,28,5,13,4,11.25,5,11,4,10.5,Enrolled
Lajang,Siang,133.1,108.0,Tidak,Tidak,Ya,Perempuan,Tidak,20,7,8,7,12.457142857142856,8,8,8,13.5625,Graduate
Lajang,Siang,131.0,132.3,Ya,Tidak,Ya,Perempuan,Tidak,19,7,7,6,11.683333333333332,7,7,6,11.683333333333332,Graduate
Lajang,Malam,150.0,148.0,Tidak,Tidak,Ya,Perempuan,Tidak,26,6,10,3,11.666666666666666,6,8,5,12.0,Graduate
Lajang,Siang,125.0,122.6,Ya,Ya,Tidak,Perempuan,Tidak,20,6,8,4,11.75,6,6,6,13.166666666666666,Droupout
Lajang,Siang,131.0,123.0,Ya,Tidak,Ya,Perempuan,Ya,18,5,6,3,11.666666666666666,5,6,4,13.5,Enrolled
Lajang,Siang,130.0,102.5,Tidak,Tidak,Ya,Perempuan,Tidak,27,6,9,5,13.2,6,10,5,12.0,Graduate
Lajang,Siang,123.0,113.3,Ya,Tidak,Ya,Perempuan,Tidak,20,7,8,4,11.95,7,8,4,11.95,Droupout
Lajang,Siang,141.0,133.0,Ya,Tidak,Ya,Perempuan,Tidak,18,6,8,5,12.4,6,12,5,10.4,Droupout
Lajang,Siang,140.0,140.0,Tidak,Tidak,Ya,Perempuan,Tidak,33,7,8,6,14.35,8,10,6,14.583333333333334,Droupout
Lajang,Siang,140.0,128.3,Ya,Tidak,Ya,Perempuan,Tidak,35,21,21,21,12.61904761904762,19,19,19,12.789473684210526,Graduate
Lajang,Malam,140.0,140.0,Tidak,Tidak,Ya,Perempuan,Ya,26,6,7,6,12.666666666666666,6,7,6,13.166666666666666,Enrolled
Lajang,Siang,133.1,104.0,Tidak,Ya,Tidak,Perempuan,Tidak,27,6,6,5,12.0,6,6,0,0.0,Droupout
Lajang,Siang,131.0,122.3,Ya,Tidak,Tidak,Perempuan,Tidak,19,6,6,6,12.166666666666666,6,6,0,0.0,Droupout
Lajang,Siang,143.0,135.0,Tidak,Tidak,Ya,Perempuan,Tidak,20,6,0,0,0.0,6,0,0,0.0,Droupout
Lajang,Siang,132.0,119.1,Ya,Ya,Tidak,Perempuan,Tidak,20,5,9,3,10.0,5,9,3,10.571428571428571,Droupout
Lajang,Siang,143.0,126.6,Tidak,Ya,Tidak,Perempuan,Tidak,21,10,18,8,11.5,6,12,4,10.0,Enrolled
Lajang,Siang,141.0,129.0,Ya,Tidak,Ya,Perempuan,Ya,18,7,7,6,13.05,7,7,6,13.05,Graduate
Lajang,Siang,133.1,162.3,Ya,Tidak,Ya,Perempuan,Tidak,24,6,10,2,11.0,6,6,0,0.0,Droupout
